IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.79,4,4,0.00,101.70,0.00,N/A
172.64.229.240,4,4,0.00,101.71,0.00,N/A
104.18.45.85,4,4,0.00,101.71,0.00,N/A
172.64.229.168,4,4,0.00,101.71,0.00,N/A
172.64.229.229,4,4,0.00,101.71,0.00,N/A
104.18.32.197,4,4,0.00,101.72,0.00,N/A
104.18.45.148,4,4,0.00,101.73,0.00,N/A
172.64.229.87,4,4,0.00,101.76,0.00,N/A
104.18.36.246,4,4,0.00,101.77,0.00,N/A
172.64.229.202,4,4,0.00,101.77,0.00,N/A
172.64.229.41,4,4,0.00,101.78,0.00,N/A
104.18.43.44,4,4,0.00,101.78,0.00,N/A
172.64.229.194,4,4,0.00,101.78,0.00,N/A
104.18.37.118,4,4,0.00,101.78,0.00,N/A
172.64.229.203,4,4,0.00,101.79,0.00,N/A
104.18.37.25,4,4,0.00,101.80,0.00,N/A
172.64.229.23,4,4,0.00,101.80,0.00,N/A
172.64.229.145,4,4,0.00,101.81,0.00,N/A
172.64.229.87,4,4,0.00,101.82,0.00,N/A
172.64.229.138,4,4,0.00,101.84,0.00,N/A
172.64.229.204,4,4,0.00,101.86,0.00,N/A
104.18.41.86,4,4,0.00,101.87,0.00,N/A
104.18.44.122,4,4,0.00,101.89,0.00,N/A
172.64.155.150,4,4,0.00,101.91,0.00,N/A
104.18.45.228,4,4,0.00,101.91,0.00,N/A
172.64.229.81,4,4,0.00,101.93,0.00,N/A
104.18.37.238,4,4,0.00,101.93,0.00,N/A
172.64.148.152,4,4,0.00,101.93,0.00,N/A
172.64.229.46,4,4,0.00,101.94,0.00,N/A
104.18.32.89,4,4,0.00,101.95,0.00,N/A
172.64.144.250,4,4,0.00,101.95,0.00,N/A
172.64.147.45,4,4,0.00,101.95,0.00,N/A
172.64.229.140,4,4,0.00,101.96,0.00,N/A
172.64.229.93,4,4,0.00,101.97,0.00,N/A
172.64.148.175,4,4,0.00,101.97,0.00,N/A
172.64.229.37,4,4,0.00,101.98,0.00,N/A
104.18.38.153,4,4,0.00,101.99,0.00,N/A
104.18.47.160,4,4,0.00,101.99,0.00,N/A
172.64.152.100,4,4,0.00,102.00,0.00,N/A
104.18.43.13,4,4,0.00,102.00,0.00,N/A
172.64.229.64,4,4,0.00,102.00,0.00,N/A
104.18.37.142,4,4,0.00,102.01,0.00,N/A
172.64.229.144,4,4,0.00,102.01,0.00,N/A
172.64.229.205,4,4,0.00,102.03,0.00,N/A
172.64.229.65,4,4,0.00,102.04,0.00,N/A
172.64.157.108,4,4,0.00,102.05,0.00,N/A
172.64.159.100,4,4,0.00,102.06,0.00,N/A
172.64.229.129,4,4,0.00,102.06,0.00,N/A
172.64.152.61,4,4,0.00,102.06,0.00,N/A
172.64.148.52,4,4,0.00,102.08,0.00,N/A
104.18.37.75,4,4,0.00,102.09,0.00,N/A
172.64.154.46,4,4,0.00,102.09,0.00,N/A
172.64.229.230,4,4,0.00,102.09,0.00,N/A
172.64.159.212,4,4,0.00,102.09,0.00,N/A
104.18.36.253,4,4,0.00,102.10,0.00,N/A
172.64.229.33,4,4,0.00,102.10,0.00,N/A
172.64.229.170,4,4,0.00,102.11,0.00,N/A
172.64.155.13,4,4,0.00,102.11,0.00,N/A
172.64.145.167,4,4,0.00,102.13,0.00,N/A
8.39.125.199,4,4,0.00,102.14,0.00,N/A
172.64.229.124,4,4,0.00,102.14,0.00,N/A
104.18.38.221,4,4,0.00,102.14,0.00,N/A
172.64.229.131,4,4,0.00,102.16,0.00,N/A
172.64.229.196,4,4,0.00,102.16,0.00,N/A
104.18.40.133,4,4,0.00,102.16,0.00,N/A
172.64.148.206,4,4,0.00,102.16,0.00,N/A
172.64.229.8,4,4,0.00,102.16,0.00,N/A
104.18.39.242,4,4,0.00,102.17,0.00,N/A
172.64.229.158,4,4,0.00,102.17,0.00,N/A
172.64.229.34,4,4,0.00,102.19,0.00,N/A
172.64.229.112,4,4,0.00,102.19,0.00,N/A
172.64.229.149,4,4,0.00,102.20,0.00,N/A
104.18.42.207,4,4,0.00,102.21,0.00,N/A
172.64.229.159,4,4,0.00,102.22,0.00,N/A
172.64.152.53,4,4,0.00,102.23,0.00,N/A
172.64.144.183,4,4,0.00,102.24,0.00,N/A
172.64.229.24,4,4,0.00,102.25,0.00,N/A
172.64.153.210,4,4,0.00,102.25,0.00,N/A
172.64.149.206,4,4,0.00,102.25,0.00,N/A
172.64.229.199,4,4,0.00,102.29,0.00,N/A
104.18.40.66,4,4,0.00,102.30,0.00,N/A
172.64.144.188,4,4,0.00,102.30,0.00,N/A
172.64.229.217,4,4,0.00,102.30,0.00,N/A
172.64.229.150,4,4,0.00,102.30,0.00,N/A
172.64.229.110,4,4,0.00,102.30,0.00,N/A
8.39.125.186,4,4,0.00,102.31,0.00,N/A
104.18.39.136,4,4,0.00,102.32,0.00,N/A
172.64.229.202,4,4,0.00,102.33,0.00,N/A
172.64.229.35,4,4,0.00,102.33,0.00,N/A
172.64.144.126,4,4,0.00,102.34,0.00,N/A
104.18.36.124,4,4,0.00,102.35,0.00,N/A
104.18.32.101,4,4,0.00,102.36,0.00,N/A
104.18.32.69,4,4,0.00,102.36,0.00,N/A
172.64.229.73,4,4,0.00,102.37,0.00,N/A
104.18.39.84,4,4,0.00,102.38,0.00,N/A
104.18.34.153,4,4,0.00,102.38,0.00,N/A
104.18.46.182,4,4,0.00,102.38,0.00,N/A
172.64.146.236,4,4,0.00,102.39,0.00,N/A
172.64.144.147,4,4,0.00,102.40,0.00,N/A
104.18.45.225,4,4,0.00,102.40,0.00,N/A
104.18.47.2,4,4,0.00,102.42,0.00,N/A
172.64.229.12,4,4,0.00,102.44,0.00,N/A
172.64.229.220,4,4,0.00,102.45,0.00,N/A
104.18.40.158,4,4,0.00,102.45,0.00,N/A
104.18.37.123,4,4,0.00,102.45,0.00,N/A
172.64.156.129,4,4,0.00,102.45,0.00,N/A
104.18.34.129,4,4,0.00,102.47,0.00,N/A
172.64.229.148,4,4,0.00,102.47,0.00,N/A
8.35.211.129,4,4,0.00,102.48,0.00,N/A
172.64.146.252,4,4,0.00,102.48,0.00,N/A
172.64.146.251,4,4,0.00,102.49,0.00,N/A
172.64.144.232,4,4,0.00,102.49,0.00,N/A
172.64.148.76,4,4,0.00,102.50,0.00,N/A
172.64.229.81,4,4,0.00,102.50,0.00,N/A
172.64.152.111,4,4,0.00,102.51,0.00,N/A
172.64.229.70,4,4,0.00,102.52,0.00,N/A
104.18.38.55,4,4,0.00,102.52,0.00,N/A
172.64.154.64,4,4,0.00,102.53,0.00,N/A
172.64.229.216,4,4,0.00,102.56,0.00,N/A
172.64.146.209,4,4,0.00,102.56,0.00,N/A
172.64.229.237,4,4,0.00,102.56,0.00,N/A
172.64.155.73,4,4,0.00,102.56,0.00,N/A
104.18.40.132,4,4,0.00,102.56,0.00,N/A
172.64.158.36,4,4,0.00,102.57,0.00,N/A
172.64.229.221,4,4,0.00,102.58,0.00,N/A
172.64.229.32,4,4,0.00,102.60,0.00,N/A
172.64.144.230,4,4,0.00,102.61,0.00,N/A
172.64.155.148,4,4,0.00,102.61,0.00,N/A
172.64.229.245,4,4,0.00,102.61,0.00,N/A
172.64.145.10,4,4,0.00,102.63,0.00,N/A
172.64.158.214,4,4,0.00,102.64,0.00,N/A
172.64.159.29,4,4,0.00,102.64,0.00,N/A
8.39.125.230,4,4,0.00,102.66,0.00,N/A
104.18.43.25,4,4,0.00,102.66,0.00,N/A
172.64.152.52,4,4,0.00,102.66,0.00,N/A
104.18.33.143,4,4,0.00,102.67,0.00,N/A
172.64.154.79,4,4,0.00,102.68,0.00,N/A
172.64.147.156,4,4,0.00,102.69,0.00,N/A
172.64.157.38,4,4,0.00,102.69,0.00,N/A
172.64.150.85,4,4,0.00,102.70,0.00,N/A
172.64.229.77,4,4,0.00,102.72,0.00,N/A
172.64.146.69,4,4,0.00,102.72,0.00,N/A
172.64.151.71,4,4,0.00,102.72,0.00,N/A
172.64.229.61,4,4,0.00,102.72,0.00,N/A
172.64.229.63,4,4,0.00,102.75,0.00,N/A
104.18.35.45,4,4,0.00,102.75,0.00,N/A
172.64.229.62,4,4,0.00,102.75,0.00,N/A
172.64.146.143,4,4,0.00,102.76,0.00,N/A
172.64.159.93,4,4,0.00,102.77,0.00,N/A
104.18.45.203,4,4,0.00,102.77,0.00,N/A
104.18.47.95,4,4,0.00,102.79,0.00,N/A
172.64.158.39,4,4,0.00,102.79,0.00,N/A
172.64.229.6,4,4,0.00,102.79,0.00,N/A
104.18.34.222,4,4,0.00,102.79,0.00,N/A
